camn,frame,timestamp,cam_received_timestamp,device_timestamp,block_id,x,y,area,slope,eccentricity,frame_pt_idx,cur_val,mean_val,sumsqf_val
7,895,NaN,1744163774.8899632,259243056846,1109,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,896,NaN,1744163774.8915975,257623037757,1106,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,896,NaN,1744163774.893036,271333129536,1099,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,896,NaN,1744163774.8930259,269303047056,1102,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,896,NaN,1744163774.900041,259253057133,1110,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,897,NaN,1744163774.9015782,257633038044,1107,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,897,NaN,1744163774.9029987,271343129823,1100,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,897,NaN,1744163774.9030344,269313047370,1103,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,898,NaN,1744163774.91159,257643038331,1108,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,898,NaN,1744163774.9130905,271353130110,1101,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,898,NaN,1744163774.9130352,269323047657,1104,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,899,NaN,1744163774.9215553,257653038618,1109,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,899,NaN,1744163774.9230354,271363130424,1102,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,899,NaN,1744163774.9229872,269333047944,1105,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,897,NaN,1744163774.9102628,259263057420,1111,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,898,NaN,1744163774.9199448,259273057734,1112,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,899,NaN,1744163774.9300492,259283058021,1113,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,900,NaN,1744163774.9316065,257663038932,1110,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,900,NaN,1744163774.9329362,271373130711,1103,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,900,NaN,1744163774.9329705,269343048231,1106,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,900,NaN,1744163774.9400067,259293058308,1114,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,901,NaN,1744163774.941552,257673039219,1111,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,901,NaN,1744163774.943027,271383131025,1104,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,901,NaN,1744163774.9429712,269353048545,1107,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,901,NaN,1744163774.950007,259303058595,1115,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,902,NaN,1744163774.951571,257683039506,1112,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,902,NaN,1744163774.9529715,271393131312,1105,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,902,NaN,1744163774.9529767,269363048832,1108,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,902,NaN,1744163774.9600174,259313058909,1116,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,903,NaN,1744163774.9630356,271403131599,1106,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,903,NaN,1744163774.9630046,269373049146,1109,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,903,NaN,1744163774.9699993,259323059196,1117,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,904,NaN,1744163774.972982,271413131886,1107,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,904,NaN,1744163774.972979,269383049433,1110,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,903,NaN,1744163774.9614987,257693039793,1113,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,904,NaN,1744163774.9716132,257703040107,1114,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,904,NaN,1744163774.9799888,259333059483,1118,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,905,NaN,1744163774.9815547,257713040394,1115,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,905,NaN,1744163774.9830124,271423132200,1108,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,905,NaN,1744163774.982978,269393049720,1111,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,905,NaN,1744163774.9899995,259343059797,1119,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
