camn,frame,timestamp,cam_received_timestamp,device_timestamp,block_id,x,y,area,slope,eccentricity,frame_pt_idx,cur_val,mean_val,sumsqf_val
4,35302,NaN,1746558008.1392472,485690945499,35505,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35302,NaN,1746558008.1391242,501645745431,35512,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35302,NaN,1746558008.1391613,495168484149,35508,131.17839,615.6635,44659.0,-0.024260135,1.5254649,0,255,12.226562,2666.4104
7,35302,NaN,1746558008.1391613,495168484149,35508,87.57728,614.4552,45143.0,-0.66927546,1.3345352,1,255,12.417246,2699.7268
6,35303,NaN,1746558008.1459439,481450765734,35516,1046.5458,531.23206,40241.0,0.92302716,1.1797816,0,255,16.099154,2658.1428
6,35303,NaN,1746558008.1459439,481450765734,35516,1098.8171,532.9938,40396.0,-0.583906,1.1968164,1,255,16.426888,2659.163
4,35303,NaN,1746558008.1492057,485700945786,35506,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35303,NaN,1746558008.149086,501655745718,35513,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35303,NaN,1746558008.1491258,495178484436,35509,131.16057,615.6667,44880.0,-0.028464114,1.6381115,0,255,12.226562,2666.4104
7,35303,NaN,1746558008.1491258,495178484436,35509,87.55769,614.4573,44980.0,-0.708391,1.3264318,1,255,12.417246,2699.7268
6,35304,NaN,1746558008.1558352,481460766048,35517,1046.561,531.242,40157.0,0.960526,1.1843028,0,255,16.099154,2658.1428
6,35304,NaN,1746558008.1558352,481460766048,35517,1098.8126,533.0187,40369.0,-0.59259075,1.2152076,1,255,16.426888,2659.163
4,35304,NaN,1746558008.1592917,485710946073,35507,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35304,NaN,1746558008.1591067,501665746032,35514,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35304,NaN,1746558008.1593962,495188484750,35510,131.13718,615.64526,44703.0,-0.04016156,1.5997348,0,255,12.226562,2666.4104
7,35304,NaN,1746558008.1593962,495188484750,35510,87.58042,614.4264,45114.0,-0.6954445,1.322423,1,255,12.417246,2699.7268
6,35305,NaN,1746558008.1661284,481470766335,35518,1046.5612,531.23676,40199.0,0.95226324,1.1845899,0,255,16.099154,2658.1428
6,35305,NaN,1746558008.1661284,481470766335,35518,1098.8104,533.01654,40577.0,-0.5865014,1.20022,1,254,16.426888,2659.163
4,35305,NaN,1746558008.1691906,485720946360,35508,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35305,NaN,1746558008.1693246,501675746319,35515,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35305,NaN,1746558008.1692088,495198485037,35511,131.27325,615.6283,44731.0,-0.008498149,1.4539844,0,255,12.226562,2666.4104
7,35305,NaN,1746558008.1692088,495198485037,35511,87.59629,614.4028,45285.0,-0.6919384,1.3299968,1,255,12.417246,2699.7268
6,35306,NaN,1746558008.175926,481480766622,35519,1098.803,533.0015,40503.0,-0.5831047,1.2068691,0,255,15.897545,2549.8848
6,35306,NaN,1746558008.175926,481480766622,35519,1046.5627,531.22797,40184.0,0.95761764,1.1871185,1,255,16.099154,2658.1428
4,35306,NaN,1746558008.1790614,485730946674,35509,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35306,NaN,1746558008.1790104,501685746606,35516,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35306,NaN,1746558008.1792057,495208485351,35512,131.06763,615.6221,44882.0,-0.04853757,1.6933053,0,255,12.226562,2666.4104
7,35306,NaN,1746558008.1792057,495208485351,35512,87.52287,614.41693,45009.0,-0.7211286,1.309359,1,255,12.417246,2699.7268
6,35307,NaN,1746558008.1858237,481490766909,35520,1046.5634,531.2389,40207.0,0.9600718,1.185532,0,255,16.099154,2658.1428
6,35307,NaN,1746558008.1858237,481490766909,35520,1098.8115,533.02136,40554.0,-0.58281755,1.2002496,1,255,16.426888,2659.163
4,35307,NaN,1746558008.1889908,485740946961,35510,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35307,NaN,1746558008.1889322,501695746893,35517,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35307,NaN,1746558008.1891286,495218485638,35513,131.14848,615.6244,44902.0,-0.016723633,1.608764,0,255,12.226562,2666.4104
7,35307,NaN,1746558008.1891286,495218485638,35513,87.54814,614.4108,45147.0,-0.7201161,1.318126,1,255,12.417246,2699.7268
6,35308,NaN,1746558008.196013,481500767196,35521,1046.5574,531.24414,40211.0,0.9290585,1.1806926,0,255,16.099154,2658.1428
6,35308,NaN,1746558008.196013,481500767196,35521,1098.8308,533.03284,40318.0,-0.59797186,1.2265162,1,255,16.426888,2659.163
4,35308,NaN,1746558008.1989977,485750947248,35511,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35308,NaN,1746558008.1990087,501705747207,35518,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35308,NaN,1746558008.1991234,495228485925,35514,131.11423,615.6555,44744.0,-0.031874023,1.6260806,0,255,12.226562,2666.4104
7,35308,NaN,1746558008.1991234,495228485925,35514,87.539024,614.42773,45141.0,-0.6941572,1.3249457,1,255,12.417246,2699.7268
6,35309,NaN,1746558008.2058775,481510767510,35522,1098.8192,533.02045,40369.0,-0.5887931,1.2177855,0,255,15.897545,2549.8848
