camn,frame,timestamp,cam_received_timestamp,device_timestamp,block_id,x,y,area,slope,eccentricity,frame_pt_idx,cur_val,mean_val,sumsqf_val
5,8610,NaN,1746558295.4926972,789007584780,8815,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8610,NaN,1746558295.4972763,768811212423,8826,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8610,NaN,1746558295.4980712,773057778498,8821,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8611,NaN,1746558295.5006292,782538419340,8819,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8611,NaN,1746558295.5027235,789017585067,8816,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8611,NaN,1746558295.5074136,768821212737,8827,469.89322,812.8277,412.0,0.05119554,126.376366,0,56,29.056356,941.66675
4,8611,NaN,1746558295.5080662,773067778785,8822,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8612,NaN,1746558295.510682,782548419654,8820,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8612,NaN,1746558295.5127676,789027585354,8817,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8612,NaN,1746558295.517351,768831213024,8828,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8612,NaN,1746558295.5180845,773077779072,8823,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8613,NaN,1746558295.5206494,782558419941,8821,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8613,NaN,1746558295.5226808,789037585668,8818,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8613,NaN,1746558295.527434,768841213311,8829,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8613,NaN,1746558295.5281541,773087779359,8824,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8614,NaN,1746558295.5307055,782568420228,8822,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8614,NaN,1746558295.5327375,789047585955,8819,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8614,NaN,1746558295.537343,768851213598,8830,469.68,812.8525,400.0,0.04423037,136.81242,0,55,29.056356,941.66675
4,8614,NaN,1746558295.5380836,773097779673,8825,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8615,NaN,1746558295.5406246,782578420515,8823,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8615,NaN,1746558295.5425231,789057586242,8820,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8615,NaN,1746558295.547393,768861213912,8831,1098.2517,533.03467,41206.0,-0.0029215964,1.340386,0,5,36.650974,1501.349
4,8615,NaN,1746558295.5481148,773107779960,8826,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8616,NaN,1746558295.550672,782588420829,8824,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8616,NaN,1746558295.5527165,789067586529,8821,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8616,NaN,1746558295.5574305,768871214199,8832,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8616,NaN,1746558295.5581071,773117780247,8827,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8617,NaN,1746558295.560663,782598421116,8825,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8617,NaN,1746558295.5626326,789077586843,8822,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8617,NaN,1746558295.5674257,768881214486,8833,1098.2533,533.0346,41214.0,-0.006103715,1.3390394,0,5,36.650974,1501.349
4,8617,NaN,1746558295.5680926,773127780561,8828,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8618,NaN,1746558295.5706804,782608421403,8826,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8618,NaN,1746558295.5727208,789087587130,8823,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8618,NaN,1746558295.5773478,768891214773,8834,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8618,NaN,1746558295.5780556,773137780848,8829,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8619,NaN,1746558295.5806952,782618421690,8827,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8619,NaN,1746558295.5826266,789097587444,8824,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8619,NaN,1746558295.5873694,768901215087,8835,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8619,NaN,1746558295.588055,773147781135,8830,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8620,NaN,1746558295.5906713,782628422004,8828,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8620,NaN,1746558295.59265,789107587731,8825,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8620,NaN,1746558295.597366,768911215374,8836,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8620,NaN,1746558295.598046,773157781422,8831,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8621,NaN,1746558295.6006548,782638422291,8829,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8621,NaN,1746558295.602654,789117588018,8826,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8621,NaN,1746558295.607325,768921215661,8837,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8621,NaN,1746558295.6080897,773167781736,8832,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8622,NaN,1746558295.6106765,782648422578,8830,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8622,NaN,1746558295.612594,789127588305,8827,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8622,NaN,1746558295.6173418,768931215975,8838,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8622,NaN,1746558295.6180477,773177782023,8833,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8623,NaN,1746558295.6206334,782658422892,8831,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8623,NaN,1746558295.6227512,789137588619,8828,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8623,NaN,1746558295.6274045,768941216262,8839,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8623,NaN,1746558295.6281254,773187782310,8834,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8624,NaN,1746558295.6306853,782668423179,8832,127.24791,615.2694,56150.0,0.039777778,10.885297,0,0,37.596138,1637.6423
5,8624,NaN,1746558295.6326041,789147588906,8829,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8624,NaN,1746558295.63734,768951216549,8840,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8624,NaN,1746558295.6380959,773197782597,8835,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8625,NaN,1746558295.6406233,782678423466,8833,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8625,NaN,1746558295.642676,789157589193,8830,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8625,NaN,1746558295.6474028,768961216836,8841,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8625,NaN,1746558295.648079,773207782911,8836,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8626,NaN,1746558295.650665,782688423780,8834,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8626,NaN,1746558295.6527264,789167589480,8831,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8626,NaN,1746558295.657343,768971217150,8842,1098.2528,533.0267,41170.0,-0.0069637788,1.3429296,0,5,31.846888,1126.0466
4,8626,NaN,1746558295.6581397,773217783198,8837,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,8627,NaN,1746558295.660683,782698424067,8835,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,8627,NaN,1746558295.662684,789177589767,8832,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
6,8627,NaN,1746558295.6674457,768981217437,8843,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,8627,NaN,1746558295.6681535,773227783512,8838,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
